id,oplocdistrict,industryphy,industryco,dom,opscope,enttype,enttypeitem,opfrom,opto,state,orgid,jobid,adbusign,townsign,regtype,empnum,compform,parnum,exenum,opform,ptbusscope,venind,enttypeminu,midpreindcode,protype,oploc,regcap,reccap,forreccap,forregcap,congro,enttypegb
47645761dc56bb8c5fae00114b768b5d9b6e917c3aec07c4,340223,M,7513.0,31487d8f256f16bd6244b7251be2ebb24d1db51663c654f5cb1ba985b1b19f614bc66f819fed4ac88eca6ca014480058cf714e8d8939efea8d5004822706aaed,纳米新材料、机械设备、五金配件加工、销售及技术推广服务，道路货物运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,1100,1150.0,2019-07-11 00:00:00,,6,340223010010000000,340200000000115392,0,0,1,5.0,,,,,,,1151.0,,,2367b4cac96d8598,50.0,,,,,1151
9c7fa510616a683058ce97d0bc768a621cd85ab1e87da2a3,340222,O,8090.0,31487d8f256f16bd6244b7251be2ebb27b17bdfd95c8f3b19ffcd2880f506783185d7f7a39b7d56bfbe2f7890450d28d236de35f12b8a574,健身服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,9600,,2017-09-06,,6,340222060010000000,340200000000112114,0,1,1,3.0,1.0,,,10,,3.0,,,,31487d8f256f16bd6244b7251be2ebb27b17bdfd95c8f3b19ffcd2880f506783bee75565895bdbb5,10.0,,,,,9600
59b38c56de3836838082cfcb1a298951abfe15e6940c49ba,340202,R,9053.0,31487d8f256f16bd6244b7251be2ebb2ae36cd652943e86c796096c38284d710f0f450a398f1b32cfaed0578b903293f40feb9e3800e9d3b,文化娱乐经纪人服务；境内文艺活动组织与策划；文化艺术交流活动组织策划；演出经纪；其他文化艺术经纪代理；文化娱乐经纪人；网络营销策划；市场营销策划；企业形象策划咨询；网上从事企业形象策划服务；企业营销策划；品牌策划服务；广告设计、制作、发布、代理；影视、广播广告发布服务；广告代理服务；互联网广告服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,1100,1150.0,2020-09-14 14:46:30,,6,340202010010000000,400000000000753910,0,0,1,2.0,,1.0,,,,,1151.0,,,2367b4cac96d8598,100.0,,,,,1151
e9f7b28ec10e047000d16ab79e1b5e6da434a1697cce7818,340221,L,7212.0,746df9aaed8578571760c563abe882c8ba25209fc6d5db928528265a4b8ce1bb,投资管理及咨询(证券、期货除外)；企业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,4500,4540.0,2015-09-30,,6,340221010010000000,400000000000013538,0,1,1,2.0,,,,01-以个人财产出资,,,,,,2367b4cac96d8598,10.0,,,,,4540
f000950527a6feb63ee1ce82bb22ddd1ab8b8fdffa3b91fb,340202,R,8810.0,31487d8f256f16bd6244b7251be2ebb2ae36cd652943e86cfd2e8fa08b3f80b6e3173f8c796457bf2ebc14ea2d3c1be5cefbd12b724f133dcb205d324d0c6c7fc49cb7baf29b4dfe,境内文化艺术交流活动策划；企业形象策划；礼仪庆典服务；翻译服务；专利代理；广告设计、制作、代理、发布。,1100,1130.0,2017-12-01,2067-11-30,7,340200000000000000,400000000000283237,0,0,1,,,,,,,,,,,2367b4cac96d8598,100.0,,,,,1130
da8691b210adb3f67820f5e0c87b337d63112cee52211888,340207,R,9019.0,ca213febe80e171c3b9617e39b49d64e79eaa1699bd4df0bf657e28777cc4a4a32b60fbdac651cedc27873991bd1912685cd06d0790f9cf094f21122915a41b8,棋牌娱乐服务；理发服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,9600,,2019-09-29,,6,340207040010000000,400000000000325767,0,0,1,1.0,1.0,,,10,,3.0,,,,31487d8f256f16bd6244b7251be2ebb2918919c75535b4acd9c73af2e1fc8fec792e3f1dfe3eb8b7aaeefabfad32c3039648a935ac93cceebecddc75459374fc,10.0,,,,,9600
9c7fa510616a6830b878f3c8c4317d93e1b022e7f22ae231,340222,O,8052.0,ca213febe80e171cd550f179e9cf5434d53fa8601fba3479972d445b15f25d79c8a2acc2e6df4e9abb0eea691e4e189339d0fa0ec21e73f09c49af65a245e02e654e20e95bf051b0970b8d6f2930f454b0688b2084b35d8147630ad709fdd2074668fbab0fc2adde,足疗服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）,9600,,2020-08-03 00:00:00,,6,340222080010000000,340200000000101006,0,1,1,5.0,1.0,,,10,,3.0,,,,7c29d90151b88c9f396c6c8374278fe7cab4859047594f61cb71ef0d6c3140d4430bf8ff6aa26fa98777f9d3b6df51ac32b4b3a3039b1879625cfaf4b8ba65bd,20.0,,,,,9600
9c7fa510616a68309e4badf2a7a3123c0462fb85bf28ef17,340222,O,8111.0,31487d8f256f16bd6244b7251be2ebb27b17bdfd95c8f3b19ffcd2880f5067836603174f887455b47ef07ebbf5832f42305dac0729263fe2a965de5da495c903,汽车维修服务，汽车零配件批发兼零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,9600,,2017-07-10,,6,340222060010000000,340200000000112114,0,1,1,7.0,1.0,,,10,,3.0,,,,31487d8f256f16bd6244b7251be2ebb27b17bdfd95c8f3b19ffcd2880f506783bee75565895bdbb5,15.0,,,,,9600
216bd2aaf4d07924b4a106be25791281e2a6d9e54eaee13b,340203,M,7519.0,31487d8f256f16bd6244b7251be2ebb2104d8ea0072d61ed00d47cfe1894ccf82ab2640934f0b38c05fb935d895024964bf780a44b5f3b0c074049e00505f5b107944c8ee155c6626a34be3437d84f2e50c5c34ab5960cb8,机电设备批发；机电设备零售；机电设备安装及维修；太阳能热水器设备及配件、太阳能光伏设备及配件安装及维修；轻质建筑材料批发；钢材批发；包装服务；厨房电器设备批发；厨房电器设备零售；厨房电器设备家电零售；厨房电器设备修理服务；厨卫电器安装及维修；制冷设备批发；制冷设备零售；制冷设备、电热水器、燃气热水器安装及维修；电热水器批发；电热水器修理服务；太阳能与空气源热泵热水系统销售；空气源热泵热水器批发；地源热泵热水器批发；燃气热水器批发；家禽家畜养殖设备和加工设备零售；家禽家畜养殖设备和加工设备的安装及维修；机械设备领域内的技术开发、技术咨询、技术服务；合同能源管理；企业管理咨询；商务信息咨询（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,1100,1190.0,2020-03-10 11:52:15,,6,340203010010000000,400000000000753907,0,0,1,2.0,,,,,,,,,,2367b4cac96d8598,300.0,,,,,1190
743e550a617316d5772a00182284976e17d42b6f0ca6d374,340208,O,8051.0,31487d8f256f16bd6244b7251be2ebb2918919c75535b4acecd952004b0eed8590d1b79886892835ecdd4448ba7cecac6c8ca9860b3b887af46275e264fdd4716902044bc738bef1601e9bac0135c7be3a57ce83be0b3425f8a8495a43d86014,足浴服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）。***,9600,,2016-02-29,,6,340206040010000000,340200000020001736,0,1,1,6.0,1.0,,,10,,3.0,,,,ca213febe80e171c6293b0274cbe9e27b4b53b5313603cb1e6bbc2698a15aecad8e09f3ee1b46324,10.0,,,,,9600
